"filename", "language", "XML", "Markdown", "JavaScript", "JSON", "JSON with Comments", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\TODOS.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\app\api\decks\route.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 18, 82
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\app\cards\page.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\app\decks\page.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 51, 3, 13, 67
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\app\layout.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\app\page.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\AddCardForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 12, 90
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\AddDeckForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 12, 87
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\AppLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\ColorPalletePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 2, 2, 35
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 140, 0, 6, 33, 179
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\DeckCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 15, 114
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\DeckFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 8, 102
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\DeckList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 10, 71
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\DeckOptionsMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\DeckPageMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\EditCardForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 16, 100
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\FilterButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\FilterDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\FilterTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\Flashcard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 147, 0, 9, 13, 169
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\FlashcardList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"d:\Coding Programs\Code\Web Dev\Practice\semanticReact\components\FlashcardsMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
